message,label
"Bangsat, masa revisi lama banget. Admin tidak berguna sama sekali.",1
Admin kalian bodoh banget. Saya kecewa berat dengan layanan ini. (Perum Setiawan Melani (Persero) Tbk),1
"Bangsat, masa revisi lama banget. Buruk sekali pelayanannya.",1
Saya ingin membuat booth dengan desain minimalis. Saya ingin mengetahui detail layanan. (PT Sitompul Manullang),0
"Bangsat, masa revisi lama banget. Kalian tidak becus kerja.",1
Apakah bisa request desain booth custom untuk pameran? Saya ingin mengetahui detail layanan. (Perum Sitompul Halimah Tbk),0
Apakah ada promo untuk event akhir tahun? Saya tertarik dengan portofolio perusahaan. (UD Gunawan (Persero) Tbk),0
Saya ingin konsultasi mengenai kebutuhan event perusahaan. Saya tertarik dengan portofolio perusahaan. (PT Mardhiyah (Persero) Tbk),0
Saya ingin membuat booth dengan desain minimalis. Saya tertarik dengan portofolio perusahaan.,0
Apakah tersedia layanan instalasi outdoor? Mohon bantuan untuk konsultasi desain.,0
Saya ingin menjadwalkan meeting dengan tim production. Mohon bantuan untuk konsultasi desain.,0
Kalian bikin acara kacau total. Kalian tidak becus kerja.,1
Terima kasih atas respon cepat dari tim. Apakah tersedia paket untuk event kecil? (UD Uyainah Tbk),0
Apakah ada promo untuk event akhir tahun? Tolong kirimkan katalog production terbaru. (PT Latupono Tbk),0
Pelayanan kalian jelek dan lambat. Hasil kerja kalian jelek banget. (Perum Yulianti),1
Apakah bisa request desain booth custom untuk pameran? Mohon bantuan untuk konsultasi desain.,0
Sistem kalian bikin emosi. Admin tidak berguna sama sekali. (UD Gunawan Novitasari),1
Pelayanan kalian jelek dan lambat. Admin tidak berguna sama sekali. (PT Suryono),1
Tim kalian tidak profesional sama sekali. Saya kecewa berat dengan layanan ini. (Perum Prakasa Nasyidah Tbk),1
"Bangsat, masa revisi lama banget. Kalian tidak becus kerja. (CV Irawan Winarno)",1
Pelayanan kalian jelek dan lambat. Hasil kerja kalian jelek banget. (UD Prasetyo Sihombing),1
Admin kalian bodoh banget. Hasil kerja kalian jelek banget. (CV Hassanah),1
Admin tolol dan tidak membantu. Admin tidak berguna sama sekali.,1
"Bangsat, masa revisi lama banget. Admin tidak berguna sama sekali.",1
Parah banget hasil produksinya. Saya kecewa berat dengan layanan ini.,1
Terima kasih atas respon cepat dari tim. Saya tertarik dengan portofolio perusahaan.,0
Tim kalian tidak profesional sama sekali. Admin tidak berguna sama sekali. (PD Irawan Anggriawan),1
Saya ingin membuat booth dengan desain minimalis. Mohon bantuan untuk konsultasi desain.,0
Admin kalian bodoh banget. Saya kecewa berat dengan layanan ini.,1
Boleh minta penawaran harga untuk produksi booth? Mohon bantuan untuk konsultasi desain. (PD Jailani),0
"Bangsat, masa revisi lama banget. Buruk sekali pelayanannya.",1
Tim kalian sangat tidak kompeten. Buruk sekali pelayanannya. (PT Usada (Persero) Tbk),1
Respon admin buruk sekali. Admin tidak berguna sama sekali.,1
Berapa estimasi harga untuk backdrop ukuran besar? Tolong kirimkan katalog production terbaru.,0
Pelayanan kalian jelek dan lambat. Buruk sekali pelayanannya. (PD Susanti Wibowo),1
Kalian bikin acara kacau total. Hasil kerja kalian jelek banget. (PD Halim),1
Pelayanan sangat mengecewakan dan parah. Hasil kerja kalian jelek banget. (CV Nababan Wahyudin),1
Apakah tersedia layanan instalasi outdoor? Mohon bantuan untuk konsultasi desain.,0
Sistem kalian bikin emosi. Hasil kerja kalian jelek banget. (PD Sudiati),1
Website kalian sangat membantu untuk referensi event. Mohon bantuan untuk konsultasi desain. (PD Rahmawati Prasetya (Persero) Tbk),0
Goblok banget cara kerja kalian. Buruk sekali pelayanannya.,1
Parah banget hasil produksinya. Kalian tidak becus kerja.,1
"Dasar goblok, balas chat lama. Hasil kerja kalian jelek banget. (Perum Nababan Tbk)",1
Parah banget hasil produksinya. Saya kecewa berat dengan layanan ini.,1
Apakah tersedia layanan instalasi outdoor? Tolong kirimkan katalog production terbaru.,0
Terima kasih atas respon cepat dari tim. Tolong kirimkan katalog production terbaru.,0
Saya ingin membuat booth dengan desain minimalis. Mohon bantuan untuk konsultasi desain.,0
"Bangsat, masa revisi lama banget. Saya kecewa berat dengan layanan ini.",1
Saya ingin konsultasi mengenai kebutuhan event perusahaan. Tolong kirimkan katalog production terbaru.,0
Boleh minta penawaran harga untuk produksi booth? Saya tertarik dengan portofolio perusahaan. (PT Rahimah Tbk),0
Apakah ada promo untuk event akhir tahun? Saya tertarik dengan portofolio perusahaan.,0
"Dasar goblok, balas chat lama. Admin tidak berguna sama sekali. (PD Pranowo Zulaika)",1
Goblok banget cara kerja kalian. Buruk sekali pelayanannya.,1
Tim kalian tidak profesional sama sekali. Kalian tidak becus kerja.,1
Apakah tersedia layanan instalasi outdoor? Apakah tersedia paket untuk event kecil? (CV Andriani Riyanti),0
Tim kalian sangat profesional dan responsif. Saya tertarik dengan portofolio perusahaan.,0
Website ini sampah dan tidak berguna. Buruk sekali pelayanannya.,1
Apakah ada promo untuk event akhir tahun? Saya ingin mengetahui detail layanan. (CV Maryati (Persero) Tbk),0
Saya ingin konsultasi mengenai kebutuhan event perusahaan. Tolong kirimkan katalog production terbaru. (CV Samosir Sihombing (Persero) Tbk),0
Terima kasih atas respon cepat dari tim. Mohon bantuan untuk konsultasi desain. (PD Pangestu),0
Layanan paling buruk yang pernah saya lihat. Saya kecewa berat dengan layanan ini.,1
Parah banget hasil produksinya. Admin tidak berguna sama sekali. (UD Wacana Tbk),1
Saya ingin konsultasi mengenai kebutuhan event perusahaan. Saya ingin mengetahui detail layanan. (PD Uwais (Persero) Tbk),0
Pelayanan kalian jelek dan lambat. Hasil kerja kalian jelek banget.,1
Admin kalian bodoh banget. Saya kecewa berat dengan layanan ini. (Perum Kuswoyo (Persero) Tbk),1
Layanan paling buruk yang pernah saya lihat. Kalian tidak becus kerja.,1
